Genes	biological_process	cellular_component	molecular_function	kegg_pathway
HSP90B1	GO:0050830(defense response to Gram-positive bacterium);GO:0035889(otolith tethering);GO:0006457(protein folding);GO:0001666(response to hypoxia)	NA	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)	ko04151(PI3K-Akt signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04915(Estrogen signaling pathway);ko04918(Thyroid hormone synthesis);ko04626(Plant-pathogen interaction);ko04657(IL-17 signaling pathway)
HSPA5	NA	NA	GO:0005524(ATP binding)	ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum);ko04918(Thyroid hormone synthesis)
HSPA8	NA	NA	GO:0005524(ATP binding)	ko04144(Endocytosis);ko04010(MAPK signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko03040(Spliceosome);ko04213(Longevity regulating pathway - multiple species);ko04915(Estrogen signaling pathway);ko04612(Antigen processing and presentation)
HSPA9	GO:0031101(fin regeneration);GO:0030097(hemopoiesis);GO:0006457(protein folding)	NA	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)	ko03018(RNA degradation);ko04212(Longevity regulating pathway - worm)
HSPB1	NA	NA	GO:0046872(metal ion binding)	ko04010(MAPK signaling pathway);ko04370(VEGF signaling pathway)
HSPD1	GO:0031101(fin regeneration);GO:0042026(protein refolding)	GO:0005759(mitochondrial matrix)	GO:0005524(ATP binding)	ko03018(RNA degradation);ko04212(Longevity regulating pathway - worm)
ID1	GO:0045892(negative regulation of transcription, DNA-templated)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0046983(protein dimerization activity)	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04390(Hippo signaling pathway);ko04015(Rap1 signaling pathway);ko04350(TGF-beta signaling pathway)
ID3-A	GO:0071542(dopaminergic neuron differentiation);GO:0045892(negative regulation of transcription, DNA-templated)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0046983(protein dimerization activity)	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04350(TGF-beta signaling pathway)
IDH1	GO:0006102(isocitrate metabolic process);GO:0006099(tricarboxylic acid cycle);GO:0030097(hemopoiesis)	NA	GO:0004450(isocitrate dehydrogenase (NADP+) activity);GO:0000287(magnesium ion binding);GO:0051287(NAD binding)	ko04146(Peroxisome);ko00020(Citrate cycle (TCA cycle));ko00720(Carbon fixation pathways in prokaryotes);ko00480(Glutathione metabolism);ko01210(2-Oxocarboxylic acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
IDH2	GO:0006102(isocitrate metabolic process);GO:0006099(tricarboxylic acid cycle)	NA	GO:0004450(isocitrate dehydrogenase (NADP+) activity);GO:0000287(magnesium ion binding);GO:0051287(NAD binding)	ko04146(Peroxisome);ko00020(Citrate cycle (TCA cycle));ko00720(Carbon fixation pathways in prokaryotes);ko00480(Glutathione metabolism);ko01210(2-Oxocarboxylic acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
IDH3A	GO:0006099(tricarboxylic acid cycle)	GO:0005739(mitochondrion)	GO:0004449(isocitrate dehydrogenase (NAD+) activity);GO:0000287(magnesium ion binding);GO:0051287(NAD binding)	ko00020(Citrate cycle (TCA cycle));ko01210(2-Oxocarboxylic acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
IDI1	GO:0008299(isoprenoid biosynthetic process)	NA	GO:0016787(hydrolase activity);GO:0004452(isopentenyl-diphosphate delta-isomerase activity)	ko00900(Terpenoid backbone biosynthesis)
IDO2	GO:0019441(tryptophan catabolic process to kynurenine)	NA	GO:0020037(heme binding);GO:0046872(metal ion binding)	ko00380(Tryptophan metabolism)
IGBP1	GO:0009966(regulation of signal transduction)	NA	NA	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast)
IGF1	NA	GO:0005615(extracellular space)	GO:0008083(growth factor activity);GO:0005179(hormone activity)	ko04114(Oocyte meiosis);ko04115(p53 signaling pathway);ko04510(Focal adhesion);ko04550(Signaling pathways regulating pluripotency of stem cells);ko04152(AMPK signaling pathway);ko04068(FoxO signaling pathway);ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04150(mTOR signaling pathway);ko04211(Longevity regulating pathway - mammal);ko04213(Longevity regulating pathway - multiple species);ko04913(Ovarian Steroidogenesis);ko04914(Progesterone-mediated oocyte maturation);ko04960(Aldosterone-regulated sodium reabsorption);ko04730(Long-term depression);ko04750(Inflammatory mediator regulation of TRP channels)
IGSF5	NA	GO:0016021(integral component of membrane)	NA	ko04530(Tight junction)
IL6ST	NA	GO:0016021(integral component of membrane)	GO:0004896(cytokine receptor activity)	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04630(Jak-STAT signaling pathway);ko04060(Cytokine-cytokine receptor interaction);ko04659(Th17 cell differentiation)
IMPA1	GO:0006021(inositol biosynthetic process);GO:0046855(inositol phosphate dephosphorylation);GO:0046854(phosphatidylinositol phosphorylation)	NA	GO:0008934(inositol monophosphate 1-phosphatase activity);GO:0052832(inositol monophosphate 3-phosphatase activity);GO:0052833(inositol monophosphate 4-phosphatase activity);GO:0046872(metal ion binding)	ko04070(Phosphatidylinositol signaling system);ko00521(Streptomycin biosynthesis);ko00562(Inositol phosphate metabolism)
IMPDH2	GO:0006177(GMP biosynthetic process);GO:0007623(circadian rhythm)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0003938(IMP dehydrogenase activity);GO:0046872(metal ion binding);GO:0000166(nucleotide binding)	ko00230(Purine metabolism);ko00983(Drug metabolism - other enzymes)
IPO7	GO:0006886(intracellular protein transport)	GO:0005634(nucleus)	GO:0008536(Ran GTPase binding)	ko04013(MAPK signaling pathway - fly)
IQGAP1	GO:0043087(regulation of GTPase activity);GO:0007165(signal transduction)	NA	NA	ko04810(Regulation of actin cytoskeleton)
ISY1	GO:0000350(generation of catalytic spliceosome for second transesterification step)	NA	NA	ko03040(Spliceosome)
IVD	NA	NA	GO:0003995(acyl-CoA dehydrogenase activity);GO:0050660(flavin adenine dinucleotide binding)	ko00280(Valine, leucine and isoleucine degradation)
IYD	NA	NA	GO:0016491(oxidoreductase activity)	ko04918(Thyroid hormone synthesis)
JUNB	GO:0051726(regulation of cell cycle);GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)	ko04668(TNF signaling pathway);ko04380(Osteoclast differentiation)
JUND	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)	ko04010(MAPK signaling pathway);ko04380(Osteoclast differentiation);ko04657(IL-17 signaling pathway)
KARS	GO:0006430(lysyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0005524(ATP binding);GO:0004824(lysine-tRNA ligase activity);GO:0003676(nucleic acid binding)	ko00970(Aminoacyl-tRNA biosynthesis)
KDR	GO:0001525(angiogenesis);GO:0048010(vascular endothelial growth factor receptor signaling pathway)	GO:0016021(integral component of membrane)	GO:0005524(ATP binding);GO:0019838(growth factor binding);GO:0005021(vascular endothelial growth factor-activated receptor activity)	ko04510(Focal adhesion);ko04144(Endocytosis);ko04151(PI3K-Akt signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04370(VEGF signaling pathway);ko04060(Cytokine-cytokine receptor interaction)
KEAP1	GO:0071379(cellular response to prostaglandin stimulus);GO:0071466(cellular response to xenobiotic stimulus);GO:0016567(protein ubiquitination);GO:0006511(ubiquitin-dependent protein catabolic process)	NA	NA	ko04120(Ubiquitin mediated proteolysis)
KHK	GO:0006000(fructose metabolic process)	NA	GO:0004454(ketohexokinase activity)	ko00051(Fructose and mannose metabolism)
KL	GO:0007568(aging);GO:0005975(carbohydrate metabolic process);GO:0008543(fibroblast growth factor receptor signaling pathway);GO:0008286(insulin receptor signaling pathway)	GO:0005615(extracellular space);GO:0016021(integral component of membrane)	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)	ko00040(Pentose and glucuronate interconversions);ko04211(Longevity regulating pathway - mammal);ko04961(Endocrine and other factor-regulated calcium reabsorption)
KLF2	NA	NA	GO:0003676(nucleic acid binding)	ko04371(Apelin signaling pathway);ko04068(FoxO signaling pathway)
KLKB1	GO:0006508(proteolysis)	GO:0005576(extracellular region)	NA	ko04610(Complement and coagulation cascades)
KMO	GO:0034354(de novo NAD biosynthetic process from tryptophan);GO:0043420(anthranilate metabolic process);GO:0019805(quinolinate biosynthetic process);GO:0006569(tryptophan catabolic process)	GO:0005741(mitochondrial outer membrane)	GO:0071949(FAD binding);GO:0004502(kynurenine 3-monooxygenase activity)	ko00380(Tryptophan metabolism)
KMT5AA	NA	NA	GO:0018024(histone-lysine N-methyltransferase activity)	ko00310(Lysine degradation)
KNG1	NA	NA	GO:0004869(cysteine-type endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
KPNB1	GO:0006606(protein import into nucleus)	NA	GO:0008536(Ran GTPase binding)	ko03013(RNA transport)
KRAS	GO:0048701(embryonic cranial skeleton morphogenesis);GO:0007507(heart development);GO:0030097(hemopoiesis);GO:0007165(signal transduction)	GO:0016020(membrane)	GO:0005525(GTP binding);GO:0003924(GTPase activity)	ko04210(Apoptosis);ko04214(Apoptosis - fly);ko04810(Regulation of actin cytoskeleton);ko04540(Gap junction);ko04550(Signaling pathways regulating pluripotency of stem cells);ko04140(Autophagy - animal);ko04138(Autophagy - yeast);ko04137(Mitophagy - animal);ko04371(Apelin signaling pathway);ko04012(ErbB signaling pathway);ko04068(FoxO signaling pathway);ko04010(MAPK signaling pathway);ko04013(MAPK signaling pathway - fly);ko04151(PI3K-Akt signaling pathway);ko04072(Phospholipase D signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04071(Sphingolipid signaling pathway);ko04370(VEGF signaling pathway);ko04150(mTOR signaling pathway);ko04211(Longevity regulating pathway - mammal);ko04213(Longevity regulating pathway - multiple species);ko04360(Axon guidance);ko04320(Dorso-ventral axis formation);ko04915(Estrogen signaling pathway);ko04912(GnRH signaling pathway);ko04910(Insulin signaling pathway);ko04916(Melanogenesis);ko04921(Oxytocin signaling pathway);ko04914(Progesterone-mediated oocyte maturation);ko04917(Prolactin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04960(Aldosterone-regulated sodium reabsorption);ko04662(B cell receptor signaling pathway);ko04062(Chemokine signaling pathway);ko04664(Fc epsilon RI signaling pathway);ko04650(Natural killer cell mediated cytotoxicity);ko04660(T cell receptor signaling pathway);ko04725(Cholinergic synapse);ko04730(Long-term depression);ko04720(Long-term potentiation);ko04722(Neurotrophin signaling pathway);ko04726(Serotonergic synapse)
KYNU	GO:0034354(de novo NAD biosynthetic process from tryptophan);GO:0043420(anthranilate metabolic process);GO:0097053(L-kynurenine catabolic process);GO:0019805(quinolinate biosynthetic process);GO:0006569(tryptophan catabolic process)	GO:0005737(cytoplasm)	GO:0030429(kynureninase activity);GO:0030170(pyridoxal phosphate binding)	ko00380(Tryptophan metabolism)
L2HGDH	NA	NA	GO:0016491(oxidoreductase activity)	ko00650(Butanoate metabolism)
LAMTOR2	GO:0032008(positive regulation of TOR signaling)	NA	GO:0005085(guanyl-nucleotide exchange factor activity);GO:0060090(molecular adaptor activity)	ko04150(mTOR signaling pathway)
LAMTOR3	GO:0032006(regulation of TOR signaling)	NA	NA	ko04010(MAPK signaling pathway);ko04150(mTOR signaling pathway)
LAMTOR4	GO:0071230(cellular response to amino acid stimulus);GO:0032008(positive regulation of TOR signaling)	GO:0071986(Ragulator complex)	NA	ko04150(mTOR signaling pathway)
LAMTOR5	GO:0043154(negative regulation of cysteine-type endopeptidase activity involved in apoptotic process);GO:0019079(viral genome replication)	GO:0071986(Ragulator complex)	NA	ko04150(mTOR signaling pathway)
LAP-2	NA	GO:0005737(cytoplasm)	GO:0004177(aminopeptidase activity);GO:0030145(manganese ion binding);GO:0008235(metalloexopeptidase activity)	ko00480(Glutathione metabolism)
LAPTM4A	NA	GO:0016021(integral component of membrane)	NA	ko04142(Lysosome)
LCAT	GO:0006629(lipid metabolic process)	NA	GO:0008374(O-acyltransferase activity)	ko00564(Glycerophospholipid metabolism)
LCLAT1	GO:0001885(endothelial cell development);GO:0060217(hemangioblast cell differentiation)	GO:0016021(integral component of membrane)	GO:0016746(transferase activity, transferring acyl groups)	ko00561(Glycerolipid metabolism);ko00564(Glycerophospholipid metabolism)
LGMN	GO:0031103(axon regeneration);GO:0042246(tissue regeneration)	NA	GO:0008233(peptidase activity)	ko04142(Lysosome);ko04612(Antigen processing and presentation)
LIPA	GO:0016042(lipid catabolic process)	NA	GO:0004806(triglyceride lipase activity)	ko04142(Lysosome);ko00100(Steroid biosynthesis)
LIPC	GO:0006629(lipid metabolic process);GO:0009725(response to hormone)	GO:0005576(extracellular region)	GO:0046872(metal ion binding);GO:0004806(triglyceride lipase activity)	ko00561(Glycerolipid metabolism)
LIPT1	GO:0009249(protein lipoylation)	NA	NA	ko00785(Lipoic acid metabolism)
LMAN1	GO:0071391(cellular response to estrogen stimulus);GO:0006888(endoplasmic reticulum to Golgi vesicle-mediated transport)	GO:0005737(cytoplasm);GO:0016021(integral component of membrane)	GO:0005537(mannose binding)	ko04141(Protein processing in endoplasmic reticulum)
LMBRD1	NA	GO:0016021(integral component of membrane)	NA	ko04977(Vitamin digestion and absorption)
LPA	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
LPGAT1	NA	GO:0016021(integral component of membrane)	GO:0016746(transferase activity, transferring acyl groups)	ko00564(Glycerophospholipid metabolism)
LPL	GO:0060216(definitive hemopoiesis);GO:0061959(response to (R)-carnitine);GO:0019433(triglyceride catabolic process)	GO:0042627(chylomicron);GO:0005886(plasma membrane);GO:0034361(very-low-density lipoprotein particle)	GO:0008201(heparin binding);GO:0004465(lipoprotein lipase activity);GO:0046872(metal ion binding)	ko00561(Glycerolipid metabolism);ko03320(PPAR signaling pathway)
LSG1	NA	NA	GO:0005525(GTP binding)	ko03008(Ribosome biogenesis in eukaryotes)
LSM3	GO:0000398(mRNA splicing, via spliceosome);GO:0000956(nuclear-transcribed mRNA catabolic process)	GO:0005681(spliceosomal complex);GO:0046540(U4/U6 x U5 tri-snRNP complex);GO:0005688(U6 snRNP)	GO:0003723(RNA binding)	ko03018(RNA degradation);ko03040(Spliceosome)
LSM5	GO:0006397(mRNA processing);GO:0008380(RNA splicing)	GO:0005681(spliceosomal complex)	GO:0003723(RNA binding)	ko03018(RNA degradation);ko03040(Spliceosome)
LSM8	GO:0000398(mRNA splicing, via spliceosome);GO:0030217(T cell differentiation)	GO:0005681(spliceosomal complex);GO:0046540(U4/U6 x U5 tri-snRNP complex);GO:0005688(U6 snRNP)	GO:0003723(RNA binding)	ko03018(RNA degradation);ko03040(Spliceosome)
LTA4H	GO:0019370(leukotriene biosynthetic process);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0006954(inflammatory response);GO:0030593(neutrophil chemotaxis);GO:0009617(response to bacterium)	GO:0005737(cytoplasm)	GO:0004463(leukotriene-A4 hydrolase activity);GO:0008237(metallopeptidase activity);GO:0008270(zinc ion binding)	ko00590(Arachidonic acid metabolism)
MAGOH	GO:0006397(mRNA processing);GO:0051028(mRNA transport);GO:0000184(nuclear-transcribed mRNA catabolic process, nonsense-mediated decay);GO:0000381(regulation of alternative mRNA splicing, via spliceosome);GO:0006417(regulation of translation);GO:0008380(RNA splicing)	GO:0071013(catalytic step 2 spliceosome);GO:0005737(cytoplasm);GO:0035145(exon-exon junction complex);GO:0016607(nuclear speck)	GO:0003723(RNA binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
MALT1	NA	NA	GO:0004197(cysteine-type endopeptidase activity)	ko04064(NF-kappa B signaling pathway);ko04662(B cell receptor signaling pathway);ko04660(T cell receptor signaling pathway)
MAP1LC3A	GO:0006914(autophagy)	GO:0005737(cytoplasm)	NA	ko04216(Ferroptosis)
MAP1LC3B	GO:0006914(autophagy)	GO:0005737(cytoplasm);GO:0005829(cytosol)	NA	ko04216(Ferroptosis)
MAP2K2	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04540(Gap junction);ko04550(Signaling pathways regulating pluripotency of stem cells);ko04140(Autophagy - animal);ko04371(Apelin signaling pathway);ko04012(ErbB signaling pathway);ko04068(FoxO signaling pathway);ko04066(HIF-1 signaling pathway);ko04010(MAPK signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04072(Phospholipase D signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04071(Sphingolipid signaling pathway);ko04370(VEGF signaling pathway);ko04024(cAMP signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04150(mTOR signaling pathway);ko04270(Vascular smooth muscle contraction);ko04915(Estrogen signaling pathway);ko04912(GnRH signaling pathway);ko04910(Insulin signaling pathway);ko04916(Melanogenesis);ko04921(Oxytocin signaling pathway);ko04917(Prolactin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04662(B cell receptor signaling pathway);ko04664(Fc epsilon RI signaling pathway);ko04650(Natural killer cell mediated cytotoxicity);ko04660(T cell receptor signaling pathway);ko04620(Toll-like receptor signaling pathway);ko04730(Long-term depression);ko04720(Long-term potentiation);ko04722(Neurotrophin signaling pathway)
MAPK14A	NA	NA	GO:0005524(ATP binding);GO:0004707(MAP kinase activity)	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04139(Mitophagy - yeast);ko04068(FoxO signaling pathway);ko04010(MAPK signaling pathway);ko04013(MAPK signaling pathway - fly);ko04011(MAPK signaling pathway - yeast);ko04015(Rap1 signaling pathway);ko04071(Sphingolipid signaling pathway);ko04668(TNF signaling pathway);ko04370(VEGF signaling pathway);ko04212(Longevity regulating pathway - worm);ko04261(Adrenergic signaling in cardiomyocytes);ko04380(Osteoclast differentiation);ko04912(GnRH signaling pathway);ko04914(Progesterone-mediated oocyte maturation);ko04917(Prolactin signaling pathway);ko04664(Fc epsilon RI signaling pathway);ko04657(IL-17 signaling pathway);ko04670(Leukocyte transendothelial migration);ko04621(NOD-like receptor signaling pathway);ko04611(Platelet activation);ko04622(RIG-I-like receptor signaling pathway);ko04660(T cell receptor signaling pathway);ko04658(Th1 and Th2 cell differentiation);ko04659(Th17 cell differentiation);ko04624(Toll and Imd signaling pathway);ko04620(Toll-like receptor signaling pathway);ko04728(Dopaminergic synapse);ko04722(Neurotrophin signaling pathway);ko04723(Retrograde endocannabinoid signaling);ko04750(Inflammatory mediator regulation of TRP channels)
MAPK6	NA	NA	GO:0005524(ATP binding);GO:0004707(MAP kinase activity)	ko04657(IL-17 signaling pathway)
MARS	GO:0006431(methionyl-tRNA aminoacylation)	NA	GO:0005524(ATP binding);GO:0004825(methionine-tRNA ligase activity)	ko00970(Aminoacyl-tRNA biosynthesis);ko00450(Selenocompound metabolism)
MASP1	NA	NA	GO:0005509(calcium ion binding)	ko04610(Complement and coagulation cascades)
MAT1A	GO:0006730(one-carbon metabolic process);GO:0006556(S-adenosylmethionine biosynthetic process)	NA	GO:0005524(ATP binding);GO:0046872(metal ion binding);GO:0004478(methionine adenosyltransferase activity)	ko00270(Cysteine and methionine metabolism);ko01230(Biosynthesis of amino acids)
MAT2B	GO:0006730(one-carbon metabolic process);GO:0006556(S-adenosylmethionine biosynthetic process)	NA	NA	ko00270(Cysteine and methionine metabolism);ko01230(Biosynthesis of amino acids)
MCCC2	NA	NA	GO:0016874(ligase activity)	ko00280(Valine, leucine and isoleucine degradation)
MDH1	GO:0005975(carbohydrate metabolic process);GO:0006108(malate metabolic process);GO:0006099(tricarboxylic acid cycle)	NA	GO:0030060(L-malate dehydrogenase activity)	ko00270(Cysteine and methionine metabolism);ko00020(Citrate cycle (TCA cycle));ko00630(Glyoxylate and dicarboxylate metabolism);ko00620(Pyruvate metabolism);ko00710(Carbon fixation in photosynthetic organisms);ko01200(Carbon metabolism);ko04964(Proximal tubule bicarbonate reclamation)
MECR	NA	NA	GO:0016491(oxidoreductase activity)	ko00062(Fatty acid elongation);ko01212(Fatty acid metabolism)
MED24	GO:0048484(enteric nervous system development);GO:0061453(interstitial cell of Cajal differentiation);GO:0046549(retinal cone cell development);GO:0048538(thymus development)	GO:0016592(mediator complex)	NA	ko04919(Thyroid hormone signaling pathway)
MEP1B	NA	GO:0016021(integral component of membrane)	GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)	ko04974(Protein digestion and absorption)
MGAM	GO:0005975(carbohydrate metabolic process)	GO:0016021(integral component of membrane)	GO:0030246(carbohydrate binding);GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)	ko00052(Galactose metabolism);ko00500(Starch and sucrose metabolism);ko04973(Carbohydrate digestion and absorption)
MGAT1	GO:0006486(protein glycosylation)	GO:0016021(integral component of membrane)	GO:0008375(acetylglucosaminyltransferase activity)	ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
MGAT2	GO:0009312(oligosaccharide biosynthetic process)	GO:0005795(Golgi stack);GO:0016021(integral component of membrane)	GO:0008455(alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity)	ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
MGST1	NA	GO:0016021(integral component of membrane)	NA	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
MGST2	GO:0006691(leukotriene metabolic process)	GO:0016021(integral component of membrane)	GO:0008047(enzyme activator activity);GO:0016740(transferase activity)	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
MGST3	NA	GO:0016021(integral component of membrane)	NA	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
MIF	GO:0060117(auditory receptor cell development);GO:0008283(cell population proliferation);GO:0048598(embryonic morphogenesis);GO:0043066(negative regulation of apoptotic process)	NA	NA	ko00360(Phenylalanine metabolism);ko00350(Tyrosine metabolism)
MINPP1	NA	NA	GO:0016791(phosphatase activity)	ko00010(Glycolysis / Gluconeogenesis);ko00562(Inositol phosphate metabolism)
MIOX	GO:0019310(inositol catabolic process)	GO:0005737(cytoplasm)	GO:0050113(inositol oxygenase activity);GO:0005506(iron ion binding)	ko00053(Ascorbate and aldarate metabolism);ko00562(Inositol phosphate metabolism)
MKNK2	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04066(HIF-1 signaling pathway);ko04010(MAPK signaling pathway);ko04910(Insulin signaling pathway)
MLYCD	GO:0006633(fatty acid biosynthetic process)	NA	GO:0050080(malonyl-CoA decarboxylase activity)	ko04146(Peroxisome);ko04152(AMPK signaling pathway);ko00640(Propanoate metabolism);ko00410(beta-Alanine metabolism)
MMP13	GO:0030574(collagen catabolic process)	GO:0031012(extracellular matrix)	GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)	ko04668(TNF signaling pathway);ko04657(IL-17 signaling pathway)
MMP3	GO:0030574(collagen catabolic process)	GO:0031012(extracellular matrix)	GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)	ko04668(TNF signaling pathway);ko04657(IL-17 signaling pathway)
MOCS2	GO:0006777(Mo-molybdopterin cofactor biosynthetic process)	GO:0005829(cytosol);GO:0019008(molybdopterin synthase complex)	GO:0030366(molybdopterin synthase activity)	ko04122(Sulfur relay system);ko00790(Folate biosynthesis)
MPST	NA	NA	GO:0004792(thiosulfate sulfurtransferase activity)	ko04122(Sulfur relay system);ko00270(Cysteine and methionine metabolism);ko00920(Sulfur metabolism)
MPV17	GO:0050935(iridophore differentiation)	GO:0016021(integral component of membrane)	NA	ko04146(Peroxisome)
MRPL10	GO:0042254(ribosome biogenesis)	GO:0005840(ribosome)	NA	ko03010(Ribosome)
MRPL13	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL15	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL16	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL17	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL18	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL19	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL2	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL21	NA	GO:0005840(ribosome)	NA	ko03010(Ribosome)
MRPL23	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL24	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL27	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL28	NA	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL3	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL32	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL33	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL35	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL36	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPL4	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS12	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS15	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS16	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS18A	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS18C	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS2	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS21	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS5	GO:0006412(translation)	GO:1990904(ribonucleoprotein complex);GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
MRPS6	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
